% _Annual_D-N__________________ L-OTI(^S^o^N^C) Change 1957-2020                  
%   i   j     lon     lat    array(i,j)
   1   1 -179.00  -89.00        0.5435
   2   1 -177.00  -89.00        0.5435
   3   1 -175.00  -89.00        0.5435
   4   1 -173.00  -89.00        0.5435
   5   1 -171.00  -89.00        0.5435
   6   1 -169.00  -89.00        0.5435
   7   1 -167.00  -89.00        0.5435
   8   1 -165.00  -89.00        0.5435
   9   1 -163.00  -89.00        0.5435
  10   1 -161.00  -89.00        0.5435
  11   1 -159.00  -89.00        0.5435
  12   1 -157.00  -89.00        0.5435
  13   1 -155.00  -89.00        0.5435
  14   1 -153.00  -89.00        0.5435
  15   1 -151.00  -89.00        0.5435
  16   1 -149.00  -89.00        0.5435
  17   1 -147.00  -89.00        0.5435
  18   1 -145.00  -89.00        0.5435
  19   1 -143.00  -89.00        0.5435
  20   1 -141.00  -89.00        0.5435
  21   1 -139.00  -89.00        0.5435
  22   1 -137.00  -89.00        0.5435
  23   1 -135.00  -89.00        0.5435
  24   1 -133.00  -89.00        0.5435
  25   1 -131.00  -89.00        0.5435
  26   1 -129.00  -89.00        0.5435
  27   1 -127.00  -89.00        0.5435
  28   1 -125.00  -89.00        0.5435
  29   1 -123.00  -89.00        0.5435
  30   1 -121.00  -89.00        0.5435
  31   1 -119.00  -89.00        0.5435
  32   1 -117.00  -89.00        0.5435
  33   1 -115.00  -89.00        0.5435
  34   1 -113.00  -89.00        0.5435
  35   1 -111.00  -89.00        0.5435
  36   1 -109.00  -89.00        0.5435
  37   1 -107.00  -89.00        0.5435
  38   1 -105.00  -89.00        0.5435
  39   1 -103.00  -89.00        0.5435
  40   1 -101.00  -89.00        0.5435
  41   1  -99.00  -89.00        0.5435
  42   1  -97.00  -89.00        0.5435
  43   1  -95.00  -89.00        0.5435
  44   1  -93.00  -89.00        0.5435
  45   1  -91.00  -89.00        0.5435
  46   1  -89.00  -89.00        0.5435
  47   1  -87.00  -89.00        0.5435
  48   1  -85.00  -89.00        0.5435
  49   1  -83.00  -89.00        0.5435
  50   1  -81.00  -89.00        0.5435
  51   1  -79.00  -89.00        0.5435
  52   1  -77.00  -89.00        0.5435
  53   1  -75.00  -89.00        0.5435
  54   1  -73.00  -89.00        0.5435
  55   1  -71.00  -89.00        0.5435
  56   1  -69.00  -89.00        0.5435
  57   1  -67.00  -89.00        0.5435
  58   1  -65.00  -89.00        0.5435
  59   1  -63.00  -89.00        0.5435
  60   1  -61.00  -89.00        0.5435
  61   1  -59.00  -89.00        0.5435
  62   1  -57.00  -89.00        0.5435
  63   1  -55.00  -89.00        0.5435
  64   1  -53.00  -89.00        0.5435
  65   1  -51.00  -89.00        0.5435
  66   1  -49.00  -89.00        0.5435
  67   1  -47.00  -89.00        0.5435
  68   1  -45.00  -89.00        0.5435
  69   1  -43.00  -89.00        0.5435
  70   1  -41.00  -89.00        0.5435
  71   1  -39.00  -89.00        0.5435
  72   1  -37.00  -89.00        0.5435
  73   1  -35.00  -89.00        0.5435
  74   1  -33.00  -89.00        0.5435
  75   1  -31.00  -89.00        0.5435
  76   1  -29.00  -89.00        0.5435
  77   1  -27.00  -89.00        0.5435
  78   1  -25.00  -89.00        0.5435
  79   1  -23.00  -89.00        0.5435
  80   1  -21.00  -89.00        0.5435
  81   1  -19.00  -89.00        0.5435
  82   1  -17.00  -89.00        0.5435
  83   1  -15.00  -89.00        0.5435
  84   1  -13.00  -89.00        0.5435
  85   1  -11.00  -89.00        0.5435
  86   1   -9.00  -89.00        0.5435
  87   1   -7.00  -89.00        0.5435
  88   1   -5.00  -89.00        0.5435
  89   1   -3.00  -89.00        0.5435
  90   1   -1.00  -89.00        0.5435
  91   1    1.00  -89.00        0.5435
  92   1    3.00  -89.00        0.5435
  93   1    5.00  -89.00        0.5435
  94   1    7.00  -89.00        0.5435
  95   1    9.00  -89.00        0.5435
  96   1   11.00  -89.00        0.5435
  97   1   13.00  -89.00        0.5435
  98   1   15.00  -89.00        0.5435
  99   1   17.00  -89.00        0.5435
 100   1   19.00  -89.00        0.5435
 101   1   21.00  -89.00        0.5435
 102   1   23.00  -89.00        0.5435
 103   1   25.00  -89.00        0.5435
 104   1   27.00  -89.00        0.5435
 105   1   29.00  -89.00        0.5435
 106   1   31.00  -89.00        0.5435
 107   1   33.00  -89.00        0.5435
 108   1   35.00  -89.00        0.5435
 109   1   37.00  -89.00        0.5435
 110   1   39.00  -89.00        0.5435
